dataset_name,model_name,score_mean,ci95_low,ci95_high,score_median,score_std,n
dataset3,openai_gpt_image_1,4.287878787878788,3.9515151515151516,4.597746212121212,5.0,1.3176044873487587,66
dataset2,openai_gpt_image_1,3.966911764705883,3.8397058823529413,4.068382352941178,4.1,0.49290566247339035,68
dataset4,openai_gpt_image_1,3.728125,3.3169140624999995,4.123001302083333,4.833333333333334,1.6548999314365758,64
dataset2,openai_dalle_3,3.1363636363636362,2.876272727272727,3.3891136363636365,3.2,0.9649627965124864,55
dataset2,SD_api_free,3.1296511627906973,2.9156831395348832,3.3442296511627903,3.325,1.000922454156128,86
dataset3,openai_dalle_3,3.0236363636363635,2.549,3.4682045454545456,3.0,1.7647488160750762,55
dataset2,sd_api_stable-diffusion-xl-1024-v1-0,2.9852941176470593,2.7903046218487404,3.1815231092436984,2.8,1.0897899218558886,119
dataset4,openai_dalle_3,2.9481132075471694,2.532979559748427,3.371108490566037,2.833333333333333,1.5916806294774808,53
dataset3,SD_api_iteration_2_stable-diffusion-xl-1024-v1-0,2.8869426751592355,2.6044267515923565,3.1945859872611466,2.55,1.8402475664070737,157
dataset2,Stable Diffusion 3.5 Large,2.7828571428571416,2.5192499999999995,3.028607142857142,3.0,1.094051296862095,70
dataset3,SD_api_iteration_1_stable-diffusion-xl-1024-v1-0,2.7455414012738855,2.461138535031847,3.027085987261146,2.35,1.7991217212368453,157
dataset3,flux1-dev,2.5305970149253727,2.2059701492537314,2.8776492537313434,2.55,1.3780463560362886,67
dataset2,flux1_1_pro,2.4059523809523804,2.049970238095238,2.785744047619047,1.9,1.213702377476354,42
dataset3,flux1_1_pro,2.388571428571429,1.8671071428571426,2.9287499999999986,1.9,1.6504493913105336,35
dataset2,flux1-dev,2.322058823529412,2.1315992647058817,2.523529411764706,2.15,0.811824109365969,68
dataset3,Stable Diffusion 3.5 Large,1.8330000000000002,1.476875,2.2110250000000002,1.0,1.396007791920246,50
dataset4,flux1_1_pro,1.6290322580645162,1.2580645161290323,2.0565188172043007,1.0,1.152661716314923,31
dataset4,flux1-dev,1.5740740740740742,1.3333002645502645,1.8584656084656084,1.0,1.0630979353902366,63
dataset4,sd_api_stable-diffusion-xl-1024-v1-0,1.209366391184573,1.1081267217630857,1.3340564738292011,1.0,0.631000427605887,121
dataset2,sd_turbo,1.0516666666666667,1.0,1.1291666666666667,1.0,0.3985231841327636,120
dataset2,stable-diffusion-v1-5,1.0,1.0,1.0,1.0,0.0,70
dataset3,sd_turbo,1.0,1.0,1.0,1.0,0.0,157
dataset3,stable-diffusion-v1-5,1.0,1.0,1.0,1.0,0.0,56
dataset4,sd_turbo,1.0,1.0,1.0,1.0,0.0,126
dataset4,stable-diffusion-v1-5,1.0,1.0,1.0,1.0,0.0,70
